ID_,Title,Subtitle,Version,Genre,Genre2,BPM,Composer,Writer,Arranger,Artist,Singer,PlayTime,Tag,VersionTag,OwnBG,MVFee,License,Status,Remark,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,PlayFeeSingle,PlayFeeMultiple,Premium,RefSpeed_5K,RefSpeed_7K
1,1st-sync,_,Original,Trance,te,140,Forte_Escape,none,Forte_Escape,Kinys,none,122,1stsync,ORG,own,0,Pentavision,onair,_,2_6_10_12_99,1_6_10_15_99,2_6_10_16_99,1_6_10_18_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
2,A_．I,_,Original,Techno,te,138,Forte_Escape,none,Forte_Escape,Kinys,none,146,AI,ORG,own,0,Pentavision,onair,_,3_7_11_11_14,1_7_11_15_3,3_7_11_11_18,1_7_11_15_3,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
3,Again_Sunshine,_,Original,Ani_Pop,te,161,Forte_Escape,none,Forte_Escape,Kinys,none,141,Asunshine,ORG,own,0,Pentavision,onair,_,2_6_11_99_99,1_6_11_99_99,2_6_10_99_99,1_6_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
4,All_I_want,_,Original,Pop,hd,140,Wasabi_iceCream,Wasabi_iceCream,Wasabi_iceCream,none,Wasabi_iceCream,136,Alliwant,ORG,none,0,Pentavision,onair,_,2_5_10_99_99,1_5_10_99_99,2_5_10_99_99,2_5_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
5,All_of_your_love,_,Original,Modern_Dance,rh,130,Wasabi_iceCream,Wasabi_iceCream,Wasabi_iceCream,none,Wasabi_iceCream,124,Allofyourlove,ORG,none,0,Pentavision,onair,_,4_6_11_99_99,1_6_11_99_99,4_7_11_99_99,1_7_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
6,Arabian_Night,_,Original,Techno,te,130,East_Wind,none,East_Wind,none,none,121,Anight,ORG,none,0,Pentavision,onair,_,3_6_9_99_99,1_6_9_99_99,3_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
7,Astro_Fight,_,Original,Funky_Stomp,fj,183,Forte_Escape,none,Forte_Escape,ECO,none,112,ASTRO,ORG,own,0,Pentavision,onair,_,2_8_13_13_17,1_8_13_10_21,5_9_11_16_19,1_9_11_10_21,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
8,Aurora_Borealis,_,Original,Drum_n_Bass,te,153,Electronic_Boutique,none,Electronic_Boutique,none,none,143,Aurora,ORG,none,0,Pentavision,onair,_,4_8_11_99_99,1_8_11_99_99,4_8_11_99_99,1_8_11_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
9,Brave_it_out,_,Original,Aggressive_Funk,fj,124,GonZo,Harlem_Key,GonZo,Tina,Bloom,116,Braveitout,ORG,own,0,Pentavision,onair,_,2_7_10_99_99,1_7_10_99_99,3_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
10,Bright_Dream,_,Vocal,Anime_House,hd,130,M2U,捞急老,M2U,Tari&Eter,Tari,118,Brightdreamvc,ORG,own,0,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
11,Bright_Dream,_,Instrumental,Anime_House,hd,130,M2U,none,M2U,none,none,118,Brightdreamins,ORG,none,0,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
12,Can_we_talk,_,broken_dog_leg_mix,Acid_jazz,fj,130,Forte_Escape,Forte_Escape,Forte_Escape,none,Pyk,139,canremix,ORG,own,0,Pentavision,onair,_,3_7_10_99_99,1_7_10_99_99,3_8_10_99_99,1_8_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
13,Can_We_Talk,_,Original,Acid_Jazz,fj,125,Forte_Escape,Forte_Escape,Forte_Escape,Aqualix,Pyk,125,CanWeTalk,ORG,own,0,Pentavision,onair,_,1_3_7_10_99,1_1_7_4_99,3_6_11_12_99,1_6_11_4_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
14,Carmen_Fantasy,_,Original,Classic,cs,150,荤扼荤抛,none,WideMusic,none,none,133,CarmenFantasy,ORG,none,0,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,3_7_10_99_99,1_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
15,Carmen_Toreador,_,Original,Classic,cs,151,厚力,none,WavFactory,none,none,118,CarmenToreador,ORG,none,0,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,3_8_10_99_99,1_8_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
16,Catch_Me,_,Original,Alternative_Rock,rh,145,Forte_Escape,none,Forte_Escape,Arms,none,109,Catchme,ORG,own,0,Pentavision,onair,_,3_7_10_99_99,1_7_10_99_99,3_7_9_99_99,1_7_9_99_99,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
17,Celestial_Tears,_,Original,Piano_Trance,te,165,Tsukasa,none,Tsukasa,RB,none,130,Celestial,ORG,own,0,Pentavision,onair,_,99_6_10_99_99,99_6_10_99_99,99_7_10_99_99,99_7_10_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
18,Chains_of_Gravity,_,Original,Melodic_Trance,te,155,Tsukasa,none,Tsukasa,JAY,none,135,COG,ORG,own,0,Pentavision,onair,_,6_10_12_99_99,1_10_12_99_99,5_9_12_99_99,1_9_12_99_99,0_0_0_50_50,0_0_0_50_50,0,3_3_3_3_3,3.5_3.5_3.5_3.5_3.5
19,Chase_575,_,Original,D&B_stomp,te,170,Forte_Escape,none,Forte_Escape,Kinys,none,119,Chase575,ORG,own,0,Pentavision,onair,_,3_7_11_99_99,1_7_11_99_99,3_7_11_99_99,1_7_11_99_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
20,Cherokee,_,Original,Trance_Fusion,te,136,xxdbxx,none,xxdbxx,none,none,128,CHEROKEE,ORG,own,0,Pentavision,onair,_,3_6_11_12_13,1_6_11_32_3,3_7_11_12_14,1_7_11_32_3,0_0_0_50_50,0_0_0_50_50,0,3.5_3.5_3.5_3.5_3.5,4_4_4_4_4
21,Chrono_Breakers,_,Original,Ani_Pop,rh,178,NieN,NieN,NieN&M2U,RESS,NieN,135,ChronoBreakers,ORG,own,0,Pentavision,onair,_,2_6_10_99_99,1_3_3_99_99,2_6_10_99_99,1_3_3_99_99,0_0_0_50_50,0_0_0_50_50,0,2.5_2.5_2.5_2.5_2.5,3_3_3_3_3
22,CnP,_,Original,Electro_Funk,fj,127,CrooFE,none,CrooFE,none,none,109,Cnp,ORG,none,0,Pentavision,onair,_,2_7_10_12_99,1_7_10_20_99,3_7_11_13_99,1_7_11_20_99,0_0_0_50_50,0_0_0_50_50,0,4_4_4_4_4,4.5_4.5_4.5_4.5_4.5
23,Cool_Running,_,Original,Techno,te,106,East_Wind,none,East_Wind,none,none,101,Coolrunning,ORG,none,0,Pentavision,onair,_,3_5_9_99_99,1_5_9_99_99,3_5_9_99_99,1_5_9_99_99,0_0_0_50_50,0_0_0_50_50,0,4.5_4.5_4.5_4.5_4.5,5_5_5_5_5
