section1,section2,section3,naming,wItem,base,wCount,countable,price,pricetype,chargingmax,resellingprice,level,exp,max_amplify,max_supremum,hp,hpboost,judgmentboost,expire,equip,alpha,release
1,1,0,30内牢,769,0,30,0,1100,0,1100,1100,99,0,0,0,0,0,0,0,0,255,1
1,1,0,100内牢,770,0,100,0,3300,0,3300,3300,99,0,0,0,0,0,0,0,0,255,1
2,1,0,力捞,1025,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,副府,1026,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,葛聪墨,1027,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,荤父促,1028,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,酒魔屈弊赤,1029,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,喊捞,1030,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,农府胶萍唱,1031,0,1,0,3000,0,0,3000,99,10,10,0,0,0,0,0,0,255,1
2,1,0,付具,1032,0,1,0,3000,0,0,3000,99,15,5,0,0,0,0,0,0,255,1
2,1,0,具公,1033,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,荐酒,1034,0,1,0,3200,0,0,3200,99,25,0,0,0,0,0,0,0,255,1
2,1,0,饭捞唱,1035,0,1,0,3000,0,0,3000,99,0,0,0,30,0,0,0,0,255,1
2,1,0,付荤捞,1036,0,1,0,3200,0,0,3200,99,0,10,0,30,0,0,0,0,255,1
2,1,0,酒饭荤,1037,0,1,0,3000,0,0,3000,99,10,10,0,0,0,0,0,0,255,1
2,1,0,风聪,1038,0,1,0,3200,0,0,3200,99,10,15,0,0,0,0,0,0,255,1
2,1,0,府府胶,1039,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,1,0,霖锐,1040,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,1,0,聪唱,1041,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,酒具墨,1042,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,1,0,家府,1043,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,驱柳,1044,0,1,0,3200,0,0,3200,99,0,25,0,0,0,0,0,0,255,1
2,1,0,固唱,1045,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,蜡府,1046,0,1,0,3000,0,0,3000,99,0,0,0,30,0,0,0,0,255,1
2,1,0,风矫,1047,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,1,0,技捞,1048,0,1,0,1300,0,0,1300,99,100,100,0,0,0,0,3,0,255,1
2,1,0,某辑赴,1049,0,1,0,4000,0,0,4000,99,30,30,0,0,0,0,0,0,255,1
2,1,0,家尔,1050,0,1,0,1300,0,0,1300,99,30,30,0,0,0,0,15,0,255,1
2,1,0,坷靛,1051,0,1,0,3200,0,0,3200,99,0,20,0,20,0,0,0,0,255,1
2,1,0,酒固郡,1052,0,1,0,3200,0,0,3200,99,20,20,0,0,0,0,0,0,255,1
2,1,0,内胶雇吧,1053,0,1,0,0,0,0,0,99,10,30,0,20,0,0,15,0,225,0
2,1,0,救唱,1054,0,1,0,3200,0,0,3200,99,20,0,0,20,0,0,0,0,255,1
2,1,0,抗唱赴,1055,0,1,0,3200,0,0,3200,99,0,0,0,45,0,0,0,0,255,1
2,1,0,内内,1056,0,1,0,3200,0,0,3200,99,0,40,0,0,0,0,0,0,255,1
2,1,0,畴酒,1057,0,1,0,3200,0,0,3200,99,0,40,0,0,0,0,0,0,255,1
2,1,0,荐瓷措冠,1058,0,1,0,0,0,0,0,99,20,20,0,20,0,0,30,0,225,1
2,1,0,捞盲赴,1059,0,1,0,3000,0,0,3000,99,10,10,0,0,0,0,0,0,255,1
2,1,0,固虐,1060,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,1,0,郡,1061,0,1,0,3200,0,0,3200,99,25,15,0,0,0,0,0,0,255,1
2,1,0,海府,1062,0,1,0,3500,0,0,3500,99,20,10,0,0,0,0,0,0,255,1
2,1,0,皋捞,1063,0,1,0,4000,0,0,4000,99,40,20,0,0,0,0,0,0,255,1
2,1,0,俊福,1064,0,1,0,4000,0,0,4000,99,40,20,0,10,0,0,0,0,255,1
2,1,0,饭唱,1065,0,1,0,0,0,0,0,99,10,10,0,5,0,0,5,0,255,0
2,1,0,巩盲赴,1066,0,1,0,3500,0,0,3500,99,30,10,0,0,0,0,0,0,255,1
2,1,0,脚沥刮,1067,0,1,0,3200,0,0,3200,99,10,0,0,20,0,0,0,0,255,1
2,1,0,鄂,1068,0,1,0,3200,0,0,3200,99,30,0,0,10,0,0,0,0,255,1
2,1,0,俏虐,1069,0,1,0,3200,0,0,3200,99,40,0,0,0,0,0,0,0,255,1
2,2,0,洒畴,2049,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,瘤固,2050,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,墨甫肺胶,2051,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,屈,2052,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,捞矫泅,2053,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,畴瓢,2054,0,1,0,3000,0,0,3000,99,0,15,0,10,0,0,0,0,255,1
2,2,0,浚厚弊赴,2055,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,2,0,浚厚喉发,2056,0,1,0,3000,0,0,3000,99,0,0,0,30,0,0,0,0,255,1
2,2,0,浚厚饭靛,2057,0,1,0,3200,0,0,3200,99,10,10,0,10,0,0,0,0,255,1
2,2,0,浚厚喉风,2058,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,2,0,浚厚炕肺,2059,0,1,0,3000,0,0,3000,99,10,10,0,0,0,0,0,0,255,1
2,2,0,柳快,2060,0,1,0,3000,0,0,3000,99,20,0,0,0,0,0,0,0,255,1
2,2,0,乃,2061,0,1,0,3200,0,0,3200,99,25,0,0,0,0,0,0,0,255,1
2,2,0,弛,2062,0,1,0,3200,0,0,3200,99,20,0,0,10,0,0,0,0,255,1
2,2,0,ECO,2063,0,1,0,2000,0,0,2000,99,100,100,0,0,0,0,7,0,255,1
2,2,0,茄技柳,2064,0,1,0,2000,0,0,2000,99,50,50,0,0,0,0,15,0,255,1
2,2,0,内胶雇焊捞,2065,0,1,0,0,0,0,0,99,20,10,0,30,0,0,15,0,200,0
2,2,0,瘤荐,2066,0,1,0,3500,0,0,3500,99,0,40,0,0,0,0,0,0,255,1
2,2,0,酒眶肺快,2067,0,1,0,0,0,0,0,99,100,150,0,0,0,0,5,0,210,0
2,2,0,匙坷,2068,0,1,0,3000,0,0,3000,99,10,0,0,15,0,0,0,0,255,1
2,2,0,牢屈贱荤,2069,0,1,0,3500,0,0,3500,99,30,0,0,10,0,0,0,0,255,1
2,2,0,颇令,2070,0,1,0,4000,0,0,4000,99,30,0,0,30,0,0,0,0,255,1
2,2,0,付捞胶,2071,0,1,0,0,0,0,0,99,20,15,0,15,0,0,5,0,255,0
2,2,0,券,2072,0,1,0,3200,0,0,3200,99,0,10,0,30,0,0,0,0,255,1
2,3,0,黎,3073,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,3,0,鉴捞,3074,0,1,0,3200,0,0,3200,99,0,10,0,50,0,0,0,0,255,1
2,3,0,墨剐府酒,3075,0,1,0,3000,0,0,3000,99,0,20,0,0,0,0,0,0,255,1
2,3,0,磐柳父滴,3076,0,1,0,3200,0,0,3200,99,0,10,0,50,0,0,0,0,255,1
2,3,0,敲扼沛,3077,0,1,0,3200,0,0,3200,99,0,15,0,30,0,0,0,0,255,1
2,3,0,坷靛狼牢屈,3078,0,1,0,4000,0,0,4000,99,0,30,0,30,0,0,0,0,255,1
2,3,0,胶穿,3079,0,1,0,0,0,0,0,99,20,0,0,0,0,0,0,0,255,0
2,3,0,胶乔弛钮宏,3080,0,1,0,2000,0,0,2000,99,0,0,0,40,0.1,0,3,0,255,1
2,3,0,胶乔弛教农,3081,0,1,0,2200,0,0,2200,99,0,0,0,80,0.1,0,3,0,255,1
2,3,0,硅撇矾4困,3082,0,1,0,0,0,0,0,99,30,30,0,0,0,0,15,0,255,0
2,3,0,硅撇矾3困,3083,0,1,0,0,0,0,0,99,35,35,0,0,0,0,15,0,255,0
2,3,0,硅撇矾2困,3084,0,1,0,0,0,0,0,99,40,40,0,0,0,0,15,0,255,0
2,3,0,硅撇矾1困,3085,0,1,0,0,0,0,0,99,50,50,0,0,0,0,15,0,255,0
2,3,0,配虐,3086,0,1,0,3500,0,0,3500,99,25,0,0,20,0,0,0,0,255,1
3,1,0,HPPLUS,6145,0,1,0,1500,0,1500,1500,99,0,0,0,100,0,0,7,0,255,1
3,2,0,MAXSTRIKE,7169,0,1,0,1500,0,1500,1500,99,0,0,0,0,0,0,2,0,255,1
3,3,0,EXPPLUS,8193,0,1,0,1500,0,1500,1500,99,100,0,0,0,0,0,2,0,255,1
4,1,0,NoCash,9217,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,255,0
4,2,0,NoCash,10241,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,255,0
4,9,0,NoCash,11265,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,DJ_升级女神,1,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,GM_Boy,2,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,GM_Girl,3,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,阿星,4,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,DJ_GG,5,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,DJ_MM,6,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,熊宝宝,7,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,娜娜,8,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,DJMax_V,9,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,0
2,4,0,圣诞老人,10,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,圣诞驯鹿,11,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,圣诞雪人,12,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,小雪,13,63488,1,0,0,2,0,0,99,0,0,15,0,0,0,0,0,255,1
2,4,0,坏坏,14,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,金猪拜年,15,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,飘飘,16,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,展翼,17,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,0,255,1
2,4,0,E.L,18,63488,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0,255,1
2,4,0,焱,19,63488,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0,255,1
4,1,0,水蓝色界面,513,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,4,255,1
4,1,0,感性圣诞,514,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,30,255,1
4,1,0,恭贺新喜,515,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,39,255,1
4,1,0,中国祝福,516,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,40,255,1
4,2,0,水蓝球音符,1025,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,4,255,1
4,2,0,雪花音符,1026,63488,1,0,0,2,0,0,99,15,0,0,0,0,0,0,25,255,1
4,2,0,元宝音符,1027,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,38,255,1
4,2,0,祝福音符,1028,63488,1,0,0,2,0,0,99,0,0,0,0,0,0,0,39,255,1
2,1,0,卡米娜,1025,32768,1,0,500,1,0,500,99,0,0,0,0,0,0,30,0,255,1
2,1,0,杰瑞,1026,32768,1,0,1600,1,0,1600,99,0,0,0,30,0,0,30,0,255,1
2,1,0,阳光女孩,1027,32768,1,0,2800,1,0,2800,5,0,0,0,60,0,0,30,0,255,1
2,1,0,卡米娜,1028,32768,1,0,1500,1,0,1500,99,0,0,0,0,0,0,0,0,255,1
2,1,0,杰瑞,1029,32768,1,0,4800,1,0,4800,99,0,0,0,15,0,0,0,0,255,1
2,1,0,阳光女孩,1030,32768,1,0,8400,1,0,8400,5,0,0,0,30,0,0,0,0,255,1
2,1,0,DJ_MM,1031,32768,1,0,0,1,0,0,99,0,0,0,0,0,0,3,0,255,0
2,1,0,克里斯仃娜,1032,32768,1,0,250,0,0,250,99,0,0,5,0,0,0,7,0,255,0
2,1,0,克里斯仃娜,1033,32768,1,0,2800,1,0,2800,99,0,0,20,0,0,0,30,0,255,1
2,1,0,克里斯仃娜,1034,32768,1,0,8400,1,0,8400,99,0,0,10,0,0,0,0,0,255,1
2,1,0,慧珍,1035,32768,1,0,340,0,0,340,99,0,0,15,0,0,0,7,0,255,0
2,1,0,慧珍,1036,32768,1,0,1700,1,0,1700,99,0,0,0,30,0,0,30,0,255,1
2,1,0,慧珍,1037,32768,1,0,5100,1,0,5100,99,0,0,0,15,0,0,0,0,255,1
2,1,0,玛莎伊,1038,32768,1,0,340,0,0,340,99,0,0,10,15,0,0,7,0,255,0
2,1,0,玛莎伊,1039,32768,1,0,3200,1,0,3200,6,20,0,0,0,0,0,30,0,255,1
2,1,0,玛莎伊,1040,32768,1,0,9600,1,0,9600,6,10,0,0,0,0,0,0,0,255,1
2,1,0,秀儿,1041,32768,1,0,340,0,0,340,99,25,0,5,0,0,0,7,0,255,0
2,1,0,秀儿,1042,32768,1,0,680,0,0,680,99,25,0,5,0,0,0,30,0,255,0
2,1,0,秀儿,1043,32768,1,0,2040,0,0,2040,99,25,0,5,0,0,0,0,0,255,0
2,1,0,尤妮,1044,32768,1,0,440,0,0,440,99,0,0,10,0,0.2,0,7,0,255,0
2,1,0,尤妮,1045,32768,1,0,880,0,0,880,99,0,0,10,0,0.2,0,30,0,255,0
2,1,0,尤妮,1046,32768,1,0,2640,0,0,2640,99,0,0,10,0,0.2,0,0,0,255,0
2,1,0,露露,1047,32768,1,0,2500,1,0,2500,5,20,0,0,0,0,0,30,0,255,1
2,1,0,露露,1048,32768,1,0,7500,1,0,7500,5,10,0,0,0,0,0,0,0,255,1
2,1,0,Yoyo,1049,32768,1,0,3000,1,0,3000,6,10,0,0,80,0,0,30,0,255,1
2,1,0,Yoyo,1050,32768,1,0,9000,1,0,9000,6,5,0,0,40,0,0,0,0,255,1
2,1,0,小甜甜,1051,32768,1,0,2500,1,0,2500,6,20,0,0,0,0,0,30,0,255,1
2,1,0,小甜甜,1052,32768,1,0,7500,1,0,7500,6,10,0,0,0,0,0,0,0,255,1
2,1,0,丽娜,1053,32768,1,0,3000,1,0,3000,6,0,0,0,60,0,0,30,0,255,1
2,1,0,丽娜,1054,32768,1,0,9000,1,0,9000,6,0,0,0,30,0,0,0,0,255,1
2,1,0,神月,1055,32768,1,0,1600,1,0,1600,99,10,0,0,0,0,0,30,0,255,1
2,1,0,神月,1056,32768,1,0,4800,1,0,4800,99,5,0,0,0,0,0,0,0,255,1
2,1,0,红眼少女,1057,32768,1,0,3300,1,0,3300,8,20,0,0,30,0,0,30,0,255,1
2,1,0,红眼少女,1058,32768,1,0,9900,1,0,9900,8,10,0,0,15,0,0,0,0,255,1
2,1,0,埃及女王,1059,32768,1,0,8800,1,0,8800,8,30,0,10,50,0,0,30,0,255,1
2,1,0,埃及女王,1060,32768,1,0,26400,1,0,26400,8,15,0,5,25,0,0,0,0,255,1
2,1,0,阿热娜,1061,32768,1,0,2354,1,0,2354,99,0,0,0,90,0,0,30,0,255,1
2,1,0,阿热娜,1062,32768,1,0,7062,1,0,7062,99,0,0,0,45,0,0,0,0,255,1
2,1,0,艾米,1063,32768,1,0,2182,1,0,2182,99,0,0,0,90,0,0,30,0,255,1
2,1,0,艾米,1064,32768,1,0,6546,1,0,6546,99,0,0,0,45,0,0,0,0,255,1
2,1,0,Linda,1065,32768,1,0,2531,1,0,2531,99,40,0,0,0,0,0,30,0,255,1
2,1,0,Linda,1066,32768,1,0,7593,1,0,7593,99,20,0,0,0,0,0,0,0,255,1
2,1,0,迪欧,1067,32768,1,0,1,1,0,1,99,0,0,20,40,0,0,30,0,255,1
2,1,0,迪欧,1068,32768,1,0,1,1,0,1,99,0,0,10,20,0,0,0,0,255,1
2,1,0,音速少女,1069,32768,1,0,6600,1,0,6600,12,20,0,30,0,0,0,30,0,255,1
2,1,0,音速少女,1070,32768,1,0,19800,1,0,19800,12,10,0,15,0,0,0,0,0,255,1
2,1,0,依卡路斯,1071,32768,1,0,2800,1,0,2800,6,20,0,0,30,0,0,30,0,255,1
2,1,0,依卡路斯,1072,32768,1,0,8400,1,0,8400,6,10,0,0,15,0,0,0,0,255,1
2,2,0,李斯托,2049,32768,1,0,500,1,0,500,99,0,0,0,0,0,0,30,0,255,1
2,2,0,希努,2050,32768,1,0,1600,1,0,1600,99,10,0,0,0,0,0,30,0,255,1
2,2,0,杰米,2051,32768,1,0,3200,1,0,3200,6,24,0,0,0,0,0,30,0,255,1
2,2,0,李斯托,2052,32768,1,0,1500,1,0,1500,99,0,0,0,0,0,0,0,0,255,1
2,2,0,希努,2053,32768,1,0,4800,1,0,4800,99,5,0,0,0,0,0,0,0,255,1
2,2,0,杰米,2054,32768,1,0,9600,1,0,9600,6,12,0,0,0,0,0,0,0,255,1
2,2,0,DJ_GG,2055,32768,1,0,0,1,0,0,99,0,0,0,0,0,0,3,0,255,0
2,2,0,卡勒罗,2056,32768,1,0,290,0,0,290,99,20,0,0,0,0,0,7,0,255,0
2,2,0,卡勒罗,2057,32768,1,0,1500,1,0,1500,99,30,0,0,0,0,0,30,0,255,1
2,2,0,卡勒罗,2058,32768,1,0,4500,1,0,4500,99,15,0,0,0,0,0,0,0,255,1
2,2,0,诺顿,2059,32768,1,0,300,0,0,300,99,0,0,10,10,0,0,7,0,255,0
