# GERADO por tools/avisos_itens.py a partir de pak/traducao/en/trad_icones.txt
# nome do item em bytes GBK (hex) <TAB> nome em ingles
BFA9C0DA	Girl
B3B2C0DA	Boy
444A5FB7B9BAA7BEF7BFA9BDC5	DJ_LevelUp_Goddess
444A20B7B9BAA7BEF7BFA9BDC5	DJ_LevelUp_Goddess
B0A2D0C7	Star
D1A9C8CB	Snowman
BAECB1C7D7D3	Red_Nose
CAA5B5AEC0CFC8CB	Santa
BBB5BBB5	Naughty
BDF0D6EDB0DDC4EA	Golden_Pig
C6AEC6AE	Floaty
D5B9D2ED	Winged
ECCD	Blaze
BFEEBFB5C0DA	Operator
BFA8C3D7C4C8	Camina
BDDCC8F0	Jerry
D1F4B9E2C5AEBAA2	Sunshine_Girl
BFCBC0EFCBB9D8EAC4C8	Christina
BBDBD5E4	Hye-jin
C2EAC9AFD2C1	Masai
D0E3B6F9	Sua
D3C8C4DD	Luni
C2B6C2B6	Lulu
D0A1CCF0CCF0	Sweetie
C0F6C4C8	Lena
C9F1D4C2	Divine_Moon
BAECD1DBC9D9C5AE	Red_Eyed_Girl
B0A3BCB0C5AECDF5	Egyptian_Queen
B0A2C8C8C4C8	Aretha
B0ACC3D7	Amy
B5CFC5B7	Dio
D2F4CBD9C9D9C5AE	Sonic_Girl
D2C0BFA8C2B7CBB9	Icarus
C0EECBB9CDD0	Listo
CFA3C5AC	Hino
BDDCC3D7	Jimmy
BFA8C0D5C2DE	Carlos
C5B5B6D9	Norton
C0EED5E6D3EE	Lee_Jin-woo
BFCF	Ken
D0A1B7E7	Breeze
D1DBBEB5C4D0	Glasses_Guy
5AB2A9CABF	Dr_Z
B9EED2ECCDAF	Odd_Doll
4E42D2BBBAC5	NB_One
B0A3BCB0CDF5D7D3	Egyptian_Prince
D5C5D7D3C1FA	Zhang_Zilong
C8CBD0CEC4A7CAF5CAA6	Puppeteer
4E42B6FEBAC5	NB_Two
B2BCC0BCCCD8	Brant
D6C7C1A6CDC3	Brainy_Rabbit
BFA8C3D7C0F2E6AB	Camillia
BDDCC3D7CBB9	James
B0A2D4DE	Azan
CDFAB2C5	Wangcai
B5A8D0A1C3A8	Scaredy_Cat
ECC5D7CF4D4B32	Violet_MK2
BFC9B0AE504F50	Cute_POP
BCABCFDEB3AC5FD2F4CBD9	Hypersonic
BCABCFDEB3AC20D2F4CBD9	Hypersonic
C2CCC9ABBAC0BBAA	Green_Deluxe
B3E0C9ABB7E7B1A9	Crimson_Storm
C2CCC9ABBAA3BDC7	Green_Cape
CDFAB2C55F4D4B32	Wangcai_MK2
CDFAB2C5204D4B32	Wangcai_MK2
B6ACD6AED0C7	Winter_Star
CBAEC0B6C9ABBDE7C3E6	Aqua_Skin
BCABC6B7BAECB1A6CAAF	Ruby_Deluxe
BBC6BDF0BCD7	Golden_Armor
C1D2D1E6C8BCC9D5	Blazing_Flame
D6D0B9FAD7A3B8A3	Chinese_Blessing
B9A7BAD8D0C2CFB2	Happy_New_Year
CCF0C3DBD0C4D0CD	Sweet_Heart
B7DBC9ABC4DCC1BF	Pink_Power
C3B5B9E5	Rose
CBAED0C75F4D4B32	Mercury_MK2
CBAED0C7204D4B32	Mercury_MK2
B0F4B0F4CCC75F4D4B32	Lollipop_MK2
B0F4B0F4CCC7204D4B32	Lollipop_MK2
D0A1BCA6	Chick
B6ACD6AED0C7D2F4B7FB	Winter_Star_Note
BAECCBAEBEA7	Red_Crystal
C0F1BBA8C7F2	Party_Ball
CBAEC0B6C7F2D2F4B7FB	Aqua_Ball_Note
CED8DFE4D2F4B7FB	Woomi_Note
B7C9BBFAD2F4B7FB	Airplane_Note
CBAEBEA7D2F4B7FB	Crystal_Note
BBC6BDF0D2F4B7FB	Golden_Note
C9D5B1FDD2F4B7FB	Biscuit_Note
C0B6B9E2D2F4B7FB	Blue_Light_Note
B3C8B9E2D2F4B7FB	Orange_Note
D4AAB1A6D2F4B7FB	Ingot_Note
D7A3B8A3D2F4B7FB	Blessing_Note
4850CCE1C9FD4C5631	HP_Booster_LV1
4850CCE1C9FD4C5632	HP_Booster_LV2
4850CCE1C9FD4C5633	HP_Booster_LV3
455850CCE1C9FD4C5631	EXP_Booster_LV1
455850CCE1C9FD4C5632	EXP_Booster_LV2
455850CCE1C9FD4C5633	EXP_Booster_LV3
4D4158CCE1C9FD4C5631	MAX_Booster_LV1
4D4158CCE1C9FD4C5632	MAX_Booster_LV2
4D4158CCE1C9FD4C5633	MAX_Booster_LV3
4850BBD8B8B4CCE1C9FD4C5631	HP_Regen_LV1
4850BBD8B8B4CCE1C9FD4C5632	HP_Regen_LV2
4850BBD8B8B4CCE1C9FD4C5633	HP_Regen_LV3
4850C0CDBDBAC6AEB8B2	HP_Extreme
B8C6BDBABDBAC6AEB6F3C0CCC5A9	MAX_Strike
455850C7C3B7AFBDBA	EXP_Plus
B9E8C6B2BEC6C0CCC5DB	Battle_Item
C6AFBCF6BEC6C0CCC5DB	Special_Item
C6AFBCF6BEC6C0CCC5DB32	Special_Item2
3330C4DAC0CE	30_Coins
313030C4DAC0CE	100_Coins
C7C1B8AEB9CCBEF64344283330C0CF29	Premium_CD_30d
C7C1B8AEB9CCBEF64344283135C0CF29	Premium_CD_15d
C7C1B8AEB9CCBEF643442837C0CF29	Premium_CD_7d
C7C1B8AEB9CCBEF6434428C1D6B8BB29	Premium_CD_Weekend
C7C1B8AEB9CCBEF6	Premium
