# Itens da ERA COREANA que o cliente chines ainda desenha.
#
# O ItemStock.csv tem dois conjuntos: as linhas `base=0` sao da versao coreana e as
# `base=32768` sao o lancamento chines. A loja do jogo so' lista as segundas — mas o cliente
# RENDERIZA as primeiras na mesma. Testado com o 1061 e o 1064: aparecem no inventario com o
# icone, o preco e os bonus certos, e equipam.
#
# Para usar uma, basta o id no users.json; nao e' preciso mexer no .pak:
#
#     "itens": [ { "item": 1064, "instancia": 20260814, "equipado": true } ],
#     "avatar": 1064
#
# O NOME vem em coreano e o cliente mostra-o como lixo (o 1064 aparece como "俊福") — estas
# linhas nunca foram localizadas. Identifica-se pelo ICONE: cada folha
# Icon_Cache*128_N.png tem quatro, por linhas, e a folha N cobre os icones 4N+1 a 4N+4.
#
# id	icone	folha/pos	nome (coreano)	preco	exp%	max%	hp

## 2/1 — avatar feminino   (Icon_CacheAvatar_FEMALE128_N.png)
1025	#1	0/0	제이	3000	0	20	0
1026	#2	0/1	릴리	3000	0	20	0
1027	#3	0/2	모니카	3000	0	20	0
1028	#4	0/3	사만다	3000	0	20	0
1029	#5	1/0	아침형그녀	3000	0	20	0
1030	#6	1/1	별이	3000	0	20	0
1031	#7	1/2	크리스티나	3000	10	10	0
1032	#8	1/3	마야	3000	15	5	0
1033	#9	2/0	야무	3000	0	20	0
1034	#10	2/1	수아	3200	25	0	0
1035	#11	2/2	레이나	3000	0	0	30
1036	#12	2/3	마사이	3200	0	10	30
1037	#13	3/0	아레사	3000	10	10	0
1038	#14	3/1	루니	3200	10	15	0
1039	#15	3/2	리리스	3000	20	0	0
1040	#16	3/3	준희	3000	20	0	0
1041	#17	4/0	니나	3000	0	20	0
1042	#18	4/1	아야카	3000	20	0	0
1043	#19	4/2	소리	3000	0	20	0
1044	#20	4/3	혜진	3200	0	25	0
1045	#21	5/0	미나	3000	0	20	0
1046	#22	5/1	유리	3000	0	0	30
1047	#23	5/2	루시	3000	0	20	0
1048	#24	5/3	세이	1300	100	100	0
1049	#25	6/0	캐서린	4000	30	30	0
1050	#26	6/1	소랑	1300	30	30	0
1051	#27	6/2	오드	3200	0	20	20
1052	#28	6/3	아미엘	3200	20	20	0
1053	#29	7/0	코스믹걸	0	10	30	20
1054	#30	7/1	안나	3200	20	0	20
1055	#31	7/2	예나린	3200	0	0	45
1056	#32	7/3	코코	3200	0	40	0
1057	#33	8/0	노아	3200	0	40	0
1058	#34	8/1	수능대박	0	20	20	20
1059	#35	8/2	이채린	3000	10	10	0
1060	#36	8/3	미키	3000	20	0	0
1061	#37	9/0	엘	3200	25	15	0
1062	#38	9/1	베리	3500	20	10	0
1063	#39	9/2	메이	4000	40	20	0
1064	#40	9/3	에르	4000	40	20	10
1065	#41	10/0	레나	0	10	10	5
1066	#42	10/1	문채린	3500	30	10	0
1067	#43	10/2	신정민	3200	10	0	20
1068	#44	10/3	란	3200	30	0	10
1069	#45	11/0	핑키	3200	40	0	0
# (45 itens)

## 2/2 — avatar masculino   (Icon_CacheAvatar_MALE128_N.png)
2049	#1	0/0	히노	3000	0	20	0
2050	#2	0/1	지미	3000	0	20	0
2051	#3	0/2	카를로스	3000	0	20	0
2052	#4	0/3	형	3000	0	20	0
2053	#5	1/0	이시현	3000	0	20	0
2054	#6	1/1	노튼	3000	0	15	10
2055	#7	1/2	엔비그린	3000	20	0	0
2056	#8	1/3	엔비블랙	3000	0	0	30
2057	#9	2/0	엔비레드	3200	10	10	10
2058	#10	2/1	엔비블루	3000	0	20	0
2059	#11	2/2	엔비옐로	3000	10	10	0
2060	#12	2/3	진우	3000	20	0	0
2061	#13	3/0	켄	3200	25	0	0
2062	#14	3/1	넬	3200	20	0	10
2063	#15	3/2	ECO	2000	100	100	0
2064	#16	3/3	한세진	2000	50	50	0
2065	#17	4/0	코스믹보이	0	20	10	30
2066	#18	4/1	지수	3500	0	40	0
2067	#19	4/2	아웃로우	0	100	150	0
2068	#20	4/3	네오	3000	10	0	15
2069	#21	5/0	인형술사	3500	30	0	10
2070	#22	5/1	파즈	4000	30	0	30
2071	#23	5/2	마이스	0	20	15	15
2072	#24	5/3	환	3200	0	10	30
# (24 itens)

## 2/3 — avatar (3a lista)   (Icon_CacheAvatar_ETC128_N.png)
3073	#1	0/0	잭	3000	0	20	0
3074	#2	0/1	순이	3200	0	10	50
3075	#3	0/2	카밀리아	3000	0	20	0
3076	#4	0/3	터진만두	3200	0	10	50
3077	#5	1/0	플라톤	3200	0	15	30
3078	#6	1/1	오드의인형	4000	0	30	30
3079	#7	1/2	스누	0	20	0	0
3080	#8	1/3	스피넬큐브	2000	0	0	40
3081	#9	2/0	스피넬싱크	2200	0	0	80
3082	#10	2/1	배틀러4위	0	30	30	0
3083	#11	2/2	배틀러3위	0	35	35	0
3084	#12	2/3	배틀러2위	0	40	40	0
3085	#13	3/0	배틀러1위	0	50	50	0
3086	#14	3/1	토키	3500	25	0	20
# (14 itens)

## 4/1 — skin   (Icon_CacheSkin128_N.png)
9217	#1	0/0	NoCash	0	0	0	0
# (1 itens)

## 4/2 — nota   (Icon_CacheNote128_N.png)
10241	#1	0/0	NoCash	0	0	0	0
# (1 itens)
